,Topic_Num,Topic_Perc_Contrib,Keywords
0,0.0,0.469,"жизнь, человек, нужный, делать, проблема, цель, желание, работа, отношение, мысль"
1,1.0,0.6264,"фотография, очень, фото, стоять, снимать, вкус, камера, получить, фотограф, делать"
2,2.0,0.5476,"век, время, церковь, русский, история, народ, год, великий, известный, начало"
3,3.0,0.36,"работа, школа, работать, заниматься, учиться, учитель, курс, образование, знать, класс"
4,4.0,0.4028,"любить, любовь, думать, чувство, хотеть, говорить, чувствовать, знать, казаться, хотеться"
5,5.0,0.3773,"человек, очень, людеи, мочь, хороший, поэтому, причина, считать, плохой, часто"
6,6.0,0.5461,"игра, команда, стать, играть, клуб, победа, хороший, счёт, игрок, матч"
7,7.0,0.4487,"время, час, работать, друг, знать, человек, день, ходить, решить, сидеть"
8,8.0,0.6503,"закон, право, документ, решение, суд, иметь, сотрудник, мочь, получить, лицо"
9,9.0,0.5322,"фильм, книга, год, история, музыка, автор, картина, герой, группа, песня"
10,10.0,0.5358,"ребёнок, женщина, мужчина, семья, детеи, жизнь, муж, мама, жена, девушка"
11,11.0,0.5265,"год, страна, тысяча, область, регион, работать, стать, налог, государство, население"
12,12.0,0.5468,"тело, человек, врач, время, исследование, болезнь, здоровье, мозг, помощь, учёный"
13,13.0,0.7343,"цвет, одежда, стиль, девушка, выглядеть, красота, форма, волос, вариант, вещь"
14,14.0,0.2799,"вообще, дело, очень, стать, хотеть, сказать, деиствительно, делать, кстати, прийтись"
15,15.0,0.6108,"власть, народ, страна, русский, стать, часть, советский, город, оригинал_взят, национальный"
16,16.0,0.3661,"день, время, год, новый, очень, место, праздник, ждать, знак, лето"
17,17.0,0.5176,"деньга, компания, цена, рынок, бизнес, рублеи, год, товар, рост, купить"
18,18.0,0.5101,"интернет, проект, программа, тема, нужный, саит, реклама, ссылка, работа, компьютер"
19,19.0,0.641,"президент, власть, глава, выбор, политик, государство, сми, также, говорить, журналист"
20,20.0,0.6239,"машина, автомобиль, год, мочь, земля, самолёт, машин, скорость, солнце, водитель"
21,21.0,0.5837,"общество, являться, должный, свобода, мир, человек, существовать, сознание, людеи, социальный"
22,22.0,0.3819,"уровень, являться, часть, иметь, также, качество, высокий, однако, менее, количество"
23,23.0,0.6081,"человек, мир, бог, жизнь, слово, говорить, свет, смысл, дух, видеть"
24,24.0,0.4953,"дом, город, место, улица, дорога, здание, строительство, квартира, деревня, метр"
25,25.0,0.4231,"животное, жизнь, собака, жить, кошка, знать, рука, голова, убивать, умереть"
26,26.0,0.5754,"продукт, организм, мочь, питание, также, вода, вид, растение, кофе, полезный"
27,27.0,0.723,"система, позволять, основный, использовать, мочь, время, информация, возможность, процесс, метод"
28,28.0,0.4724,"вопрос, почему, сказать, говорить, нужный, хотеть, знать, делать, понимать, сегодня"
29,29.0,0.8029,"канал, статья, спасибо, подписываитесь, посмотреть, пара, комментарий, дом, комната, окно"
30,30.0,0.4711,"военный, ракета, американский, еврей, воин, американец, стать, воины, план, территория"
31,31.0,0.6786,"время, мочь, возможный, сторона, начать, начинать, должный, движение, пока, энергия"
