,Topic_Num,Topic_Perc_Contrib,Keywords,Text
0,0.0,0.469,"жизнь, человек, нужный, делать, проблема, цель, желание, работа, отношение, мысль","""Счастье это выбор. Вы можете быть счастливыми. В жизни всегда будет стресс, но это ваш выбор, разрешите ли вы этому повлиять на вас или нет ». - Валери Бертинелли Я обнаружил, что в этом мире есть два типа людей.Те, кто предпочитают быть счастливыми и теми, кто не хочет этого делать. Я всегда задавался вопросом, почему некоторые люди выбирают счастье, а другие нет? Почему мы все не хотим быть счастливыми? И что делают люди, которые решили быть счастливыми? Вот что я нашел. У них есть цели ""То, что вы получаете, достигая своих целей, не так важно, как то, чем вы становитесь, достигая своих целей."" - Зиг Зиглар Счастливые люди всегда работают над значимыми целями в жизни. Хотя они заботятся о результатах, они больше озабочены тем, кем они становятся, чем там, где они идут. Они следуют за своей страстью. «Следуйте за своей страстью, будьте готовы много работать и жертвовать, и, прежде всего, не позволяйте никому ограничивать ваши мечты». - Донован Бэйли Счастливые люди обладают способностью находить и преследовать свои страсти в жизни. Они нашли способ адаптировать свою жизнь таким образом, чтобы они могли тратить свое время на то, что они любят. Не поймите меня неправильно, они работают и приносят жертвы по пути, но при этом на то, что они любят больше всего. Они тщательно выбирают своих друзей «Вы в среднем пятеро человек, с которыми мы проводим больше всего времени». - Джим Рон Счастливые люди знают, что их друзья могут либо оказывать положительное, либо отрицательное влияние на свою жизнь. Они счастливы, потому что они окружают себя позитивными и оптимистичными людьми, которые помогают им достичь своих целей. Они благодарны за то, что у них есть «Я счастлив, потому что я благодарен. Я хочу быть благодарным. Эта благодарность позволяет мне быть счастливой ». - Будет Арнетт Счастливые люди ценят то, что у них уже есть в жизни. Они довольны тем, что у них есть, и они считают свои благословения вместо того, чтобы вожделевать после следующего блестящего объекта. Им не хочется, чтобы они выходили и покупали вещи, чтобы быть счастливыми. Они искренне благодарны за то, что они уже получили. Они служат другим «Единственный смысл жизни - служить человечеству». - Лев Толстой Счастливые люди всегда помогают другим. Они знают, что существует сильная связь между оказанием помощи другим и счастливым. Они обнаружили, что служение другим - отличный способ испытать позитивные изменения в их собственной жизни. Они согласны с тем, что они не могут изменить «Счастье может существовать только в принятии». - Джордж Оруэлл Счастливые люди знают, что есть некоторые вещи, которые находятся вне их контроля. Вещи, которые они не могут изменить. Вместо того, чтобы бороться с этими ситуациями, они научились принимать вещи такими, какие они есть, и делать все возможное. Они фокусируют свое здоровье «Хорошо выглядят и чувствуют себя хорошо, идут рука об руку. Если у вас здоровый образ жизни, ваша диета и питание установлены, и вы будете работать, вам будет хорошо ». - Джейсон Стэтхэм Счастливые люди знают, что забота о своем здоровье важна. Они тратят время на физическое и психическое здоровье. Они едят правильно, упражняются и справляются со своим стрессом. Они знают, что забота о своем теле влияет на их энергетический уровень, способность сосредоточиться и свои чувства."
1,1.0,0.6264,"фотография, очень, фото, стоять, снимать, вкус, камера, получить, фотограф, делать","посмотреть модель на сайте Вот сижу смотрю на стенания вебдизайнеров. Приходит в группу ФБ владелец интернет магазина и просит оценить его сайт, мол что нужно поправить. Тут же появляется рой дизайнеров, сайтостроителей, продвигателей, поисковых оптимизаторов и все они начинают хором гудеть, некоторые заламывая руки: у вас старый движок, у вас непонятные цвета, ваш шрифт не гармонирует, дизайн прошлого века, такое нельзя оптимизировать, выбросьте это немедленно. И советы: все переделать, все поменять, оптимизировать и продвигать, и в довесок ценники (сайт, продвижение все не меньше чем по 300 тыс) и тут же ""я представитель конторы или у меня есть знакомые которые все это могут сделать"". Понятно, что они хотят заработать на очередном клиенте, который жалостно соглашается с любой критикой. И при этом, соглашаясь, владелец магазина будет вынужден переложить все свои расходы на покупателей. В этом диалоге нет только одной стороны - покупателя. Никто не спрашивает его, готов ли он переплачивать за ""модный в этом сезоне дизайн"", который кроме него никто и не увидит. Или он согласен купить в магазине не с дизайном от Лебедева, но в полтора раза дешевле. Главное в магазине для покупателя - это товар. Покупатель ходит в магазин не как на выставку живописи, получить вдохновение и выйти с буклетом, а чтобы купить нужный ему товар. Если в магазине нет товара, то хоть какой там будет дизайн - все равно покупать будет нечего. В магазине может быть прекрасный поиск, но если все платья представлены только ростом 170, то невысоким там делать просто нечего. Если бы можно было фильтровать одежду по ростам-размерам (рост + 3 обхвата) - то из сотен наименований на экране для большинства осталось бы 5-10 моделей (а для некоторых и пустой экран). Чем отличается наш магазин выкроек - ассортиментом и тем, что у нас есть практически любой размер. И не просто любой размер, а можно еще учесть индивидуальные особенности фигуры. Конечно можно поправить сайт, его можно править каждый день до бесконечности - но это никак не отразится на выкройках. Поэтому выбирая чем заняться в первую очередь мы выбираем выкройки, а сайт - ну тоже когда-то доработаем и его. 4604 ПЛАТЬЕ С БОЛЕРО РЕКОМЕНДАЦИИ ПО ВЫБОРУ ТКАНИ: плательные ткани из натуральных или смесовых волокон. А ТАКЖЕ ВАМ НЕОБХОДИМО: клеевая прокладка; подкладочная ткань; потайная застёжка–молния. ЕСЛИ НА ЛЕКАЛАХ ДВОЙНОЙ КОНТУР, ТО ЛЕКАЛА ДАНЫ С ПРИПУСКАМИ НА ШВЫ, ЕСЛИ КОНТУР ОДИНАРНЫЙ, ТО ЛЕКАЛА ДАНЫ БЕЗ ПРИПУСКОВ НА ШВЫ. ПРИПУСКИ НА ШВЫ: все швы 1 см; припуск на подгибку низа платья и низа рукава болеро – 2.0 см. ВНИМАНИЕ! ПРЕЖДЕ ВСЕГО, РАСПЕЧАТАЙТЕ БУМАЖНЫЕ ВЫКРОЙКИ И РАЗЛОЖИТЕ ИХ НА ШИРИНУ ТКАНИ (ширина ткани может быть от 90см до 150см) ДЛЯ ТОГО, ЧТОБЫ ВЫЯСНИТЬ, СКОЛЬКО МАТЕРИАЛА ВАМ ПОТРЕБУЕТСЯ (не забудьте учесть парные и симметричные детали). ПРИ СТАЧИВАНИИ ДЕТАЛЕЙ ОБРАЩАЙТЕ ВНИМАНИЕ НА НАДСЕЧКИ - ОНИ ДОЛЖНЫ СОВПАДАТЬ! РАСКРОЙ: Платье: Из основной ткани: 1. Центральная часть спинки - 2 детали 2. Боковая часть спинки - 2 детали 3. Центральная часть полочки – 2 детали 4. Боковая часть полочки - 2 детали 5. Обтачка спинки - 2 детали 6. Обтачка полочки - 1 деталь Из клеевой прокладки: 1. Обтачка спинки - 2 детали 2. Обтачка полочки - 1 деталь Болеро: Из основной ткани: 1. Спинка - 1 деталь со сгибом 2. Полочка - 1 деталь со сгибом 3. Рукав – 2 детали Из подкладочной ткани: 1. Спинка - 1 деталь со сгибом 2. Полочка - 1 деталь со сгибом ОПИСАНИЕ РАБОТЫ: Обработка платья. 1. Продублировать обтачки клеевой прокладкой. 2. Стачать рельефные срезы спинки. Припуски заутюжить к центру и обметать. 3. Обметать средний срез спинки отдельно на каждой детали. Стачать средний срез спинки от метки молнии до низа, припуски разутюжить. Втачать застежку – молнию. 4. Стачать рельефные срезы полочки. Припуски заутюжить к центру и обметать. 5. Стачать плечевые и боковые срезы, припуски заутюжить на спинку и обметать. 6. Стачать плечевые и боковые срезы обтачек, припуски разутюжить. Обметать нижний срез. Наложить обтачку на горловину лицевыми сторонами внутрь и обтачать. Припуски рассечь, отвернуть обтачку на изнаночную сторону и приутюжить. Обтачать пройму в два приема: сначала пройму полочки, затем пройму спинки. 7. Нижний срез платья обметать, заутюжить на изнаночную сторону и настрочить. Обработка болеро. 1. Стачать вытачки на детали полочки, заутюжить глубины вверх. 2. Стачать плечевые и боковые срезы, припуски разутюжить. 3. Стачать плечевые и боковые срезы подкладки, припуски разутюжить. 4. Сложить болеро с подкладкой лицевыми сторонами внутрь и обтачать горловину и нижний срез. Припуски на закруглениях рассечь, вывернуть болеро на лицевую сторону, выправить, приутюжить. Скрепить по срезам проймы и далее обрабатывать как одну деталь. 5. Стачать шов рукава, припуски заутюжить на заднюю часть и обметать. Втачать рукава в проймы, совмещая надсечки. Припуски приутюжить и обметать. 6. Нижний срез рукава обметать, заутюжить на изнаночную сторону и настрочить."
2,2.0,0.5476,"век, время, церковь, русский, история, народ, год, великий, известный, начало","Перед ней присягали на верность Родине, молились перед решающими военными сражениями, она спасала от бед и напастей, подсказывала верные решения, укрепляла веру и смягчала сердца. Одна из главных православных святынь много раз становилась не только свидетельницей, но и участницей важнейших событий. Перед ней присягали на верность Родине, молились перед решающими военными сражениями, она спасала от бед и напастей, подсказывала верные решения, укрепляла веру и смягчала сердца. В день празднования Владимирской иконы Богоматери по случаю избавления Москвы от нашествия хана Ахмата предлагаем вспомнить о чудесах Пресвятой Богородицы. Благодаряще Тя о великих благодеяниях История чудес Владимирской иконы Божией Матери насчитывает не одно столетие. Она была прислана в 1132 году патриархом Лукой Хризовергом из Константинополя в Киев сыну Мономаха великому князю Мстиславу. Святыню поставили в вышгородском монастыре, что под Киевом, и совсем скоро по земле пошла молва о ее чудесах. Как известно, из Вышгорода икону тайно забрал Андрей Боголюбский, когда уезжал в Ростово-Суздальское княжество. По дороге кони, запряженные в повозку с иконой, остановились на берегу реки Клязьмы вблизи Владимира. Решив, что лошади устали, их заменили новыми. Результат остался прежним – кони не двигались. Боголюбский припал к чудотворной иконе и начал молиться. Во время молитвы, а, может, во сне к нему явилась Пресвятая Дева и велела поставить икону во Владимире. Возможно, это стало еще одной причиной, почему великий князь сделал Владимир столицей. Он построил белокаменный храм в местечке, которое назвал Боголюбовым, где на некоторое время оставил чудотворную икону. Затем он отстроит во Владимире величественный собор в честь Успения Божией Матери и перенесет икону в него. Вспомним и об еще одном чуде, произошедшем на владимирской земле. Во время строительства Золотых ворот произошло обрушение свода, обломками которого была придавлена дюжина человек. Винивший себя в смерти людей князь усердно молился перед образом. Спустя время ему доложили, что чудесным образом все участники происшествия остались живы. Спаси, Госпоже, и помилуй Заметим, что благоверный князь был непосредственным свидетелем многих чудес Богородицы, а ряд исследователей считают, что «Сказания о чудесах Владимирской иконы Божией Матери» созданы при непосредственном участии самого Боголюбского. Он свято верил в ее заступничество и покровительство, потому всегда брал святыню с собой во время военных походов. Не стал исключением и поход 1164 года против Волжской Булгарии. Перед сражением князь молился перед образом Богоматери: «Всяк, уповай на Тя, Госпоже, не погибнет. И я грешный имею в Тебе стену и покров». Вслед за князем о покровительстве и с надеждой на помощь вознесли молитву и воины. После победы великий князь повелит отслужить благодарственный молебен, во время которого икона Богородицы озарит воинов благодатным светом. Молим Тя: сохрани град сей Именно с иконой Владимирской Богоматери связывают и избавление Руси от ига Тамерлана. В 1395 Русь дрогнула от разорений, убийств и жестокостей, творимых огромным войском Тамерлана. Сын Дмитрия Донского московский князь Василий Дмитриевич решил встретить захватчиков на берегу Оки. Казалось, русские воины были обречены на гибель в сражении с огромными полчищами. Уповая на чудо и Божию милость, князь велел митрополиту Киприану перенести образ Богоматери из Владимира в Москву. Встретивший икону на Кучкове поле народ слезно умолял Богородицу спасти землю русскую. И Заступница вновь явила чудо! В то время, когда москвичи с трепетом и надеждой молились перед образом, Тамерлан дремал в своем шатре и видел кошмарный сон. На вершине огромной горы с золотыми жезлами в руках стояли святители, над которыми в лучах света – невиданной красоты и величия Жена в окружении войска. Грозно взглянув на Тамерлана, она повелела ему покинуть Русь. В тот же миг окружавшие ее воины устремились на Тамерлана. Проснувшийся в холодном поту Тамерлан велел своим советникам истолковать видение, на что мудрейшие из них ответили, что во сне явилась к нему Матерь Бога Христианского и заступница русских. Со словами «Мы не одолеем их!» Тамерлан приказал своему войску отступать. В великой радости народ и великий князь благодарили Богородицу не только за спасение Москвы, но и всей русской земли. А в память о заступничестве на месте встречи иконы построили церковь и монастырь, названный Сретенским. Утверди нас в вере Христовой По другому преданию во время отступления Тамерлана владимирцы стали просить великого князя вернуть икону, однако получил отказ – Защитницу земли Русской «приличнее» иметь в Москве. Во второй раз владимирцы стали просить князя, ссылаясь на народное роптание. Князь повелел арестовать дерзких просителей, а во Владимир был отправлен человек с велением наказать недовольных. Однако Матерь Божия спасла от наказания «неразумных грешников» за усердие, с которым они пытались вернуть себе икону. Однажды перед утрени пришедший в Успенский Собор Московского Кремля пономарь дивился двум абсолютно одинаковым иконам Богоматери, которые стояли рядышком. В свидетели он призвал людей, пришедших в церковь, а затем и великого князя с митрополитом. Приведя под стражей арестованных владимирцев, им предложили выбрать один из образов, что те и сделали. Через несколько дней после литургии и молебна великой князь взял выбранную икону Богоматери, донес ее до возводимого Сретенского монастыря и торжественно вручил радостным владимирцам. Сохрани Землю русскую от губительства В 1480 году, разозленный отсутствием дани от русских, хан Золотой Орды Ахмат двинулся с огромным войском на Русь. Иоанн Третий готовился встретить Ахмата на реке Угре, именуемой охраняющим русские земли поясом Богоматери. Татары решили подождать, пока реку скует лед. Когда же река покрылась льдом, Иоанн Третий повелел своим воинам отступать. Татары же решили, что царь предпринимает ловкий маневр, заманивая их в ловушку, и… бежали. В летописях находим: ««Да не похвалятся легкомысленные страхом их оружия. Нет! Не оружие и не мудрость человеческая, но Господь спас ныне Россию». Еще одно избавление приписывается заступничеству Божией Матери - в 1451 году ногайский царевич Мазовши услышал, будучи практически у московских стен, необыкновенный шум и, решив, что на него идет огромное войско великого князя, поспешил удалиться. Тем шумом была вселенская молитва перед Святым образом о заступничестве и покровительстве. Согрей сердца их ревностию о Бозе В 1521 году казанские, ногайские и крымские татары, возглавляемые Мехмет-Гиреем, опустошив все на своем пути, подошли к Москве. Нападение было настолько стремительным, что, не успевшие собрать необходимое количество воинов, русские уповали только на покровительство своей Защитницы. Народ горячо и неустанно возносил молитву. Вместе со всеми молился и юродивый Василий. По преданию, во время одной из таких молитв перед вратами Успенского собора он услышал в храме сильнейший шум. Двери собора распахнулись, и чудотворная икона сошла с места. Юродивый услышал голос: «Выйду из града с Российскими святителями», а затем увидел пламя, которое через мгновение пропало. Той же ночью слепой монахине Вознесенского монастыря явилось, будто от ворот Московского кремля, словно крестным ходом, идут святители, которые уносят чудотворный образ из Москвы. Уж не знак ли это Божественного гнева за грехи москвичей? Упоминается и об еще одном видении одной отроковицы: навстречу «собору» святых мужей спешат Сергий Радонежский и Варлаам Хутынский. Пав перед шествием, старцы вопрошали: «Зачем уходите из города, оставляя его один на один со страшной бедой?» На что святители в скорби отвечали: «Много молили мы Всемилостиваго Бога и Пречистую Богородицу об избавлении от предлежащей скорби; Бог же не только повелел нам выйти из города, но и повелел вынести с собою чудотворный образ Пречистой Его Матери; ибо люди эти презрели страх Божий и о заповедях Его не радели, и посему попустил Бог прийти варварскому народу, да накажутся ныне и чрез покаяние возвратятся к Богу». Сергей и Варлаам смогли уговорить святителей умилостивить Бога – начался молебен, после которого город осенили крестом, а святители вернулись с иконой в Кремль. Гирей так и не вошел в город. В летописях сказано, что посланные жечь московские посады татары заметили вблизи Москвы русское войско, о чем и рассказали хану. Но тот усомнился и послал своих начальников подтвердить или опровергнуть рассказ. Те же действительно увидели под стенами города огромное войско. Гирей бежал, и Москва была спасена. Избави нас от искушения В 1605 году находящийся у власти Лжедмитрий Первый решил свергнуть патриарха Иова. Ворвавшиеся в Успенский собор люди напали на патриарха во время свершения им литургии и начали рвать с него одежды. Со словами: «Здесь пред этою святою иконою я был удостоен сана архиерейскаго и 19 лет хранил целость веры; ныне вижу бедствие церкви, торжество обмана и ереси: Мати Божия, спаси православие» патриарх снял панагию и возложил ее к чудотворной иконе Богоматери. И на этот раз Пресвятая Дева спасла православную веру – менее чем через год после воцарения Лжедмитрия князь Шуйский, испросив перед Святым образом небесной помощи для свержения самозванца, успешно реализовал задуманное."
3,3.0,0.36,"работа, школа, работать, заниматься, учиться, учитель, курс, образование, знать, класс","Давно хочу написать об этом, да всё как-то мотивации не случалось. Давайте об оценках поговорим. Для чего они нужны в школе? Для обезличивания учеников, для удобства контроля, для давления и проявления власти учителя. Всё. Оценка - это кнут. Которым погоняют ученика. - Оценка всегда - ВСЕГДА!! - субъективна. Ни один учитель никогда не поставить высший балл тому, кого он записал в троечники. - Оценка - элемент негативной мотивации. Не выучишь - поставят неуд. Таким образом, оценка мешает возникновению мотивации истинной. Внутренней, осознанной мотивации в таком поле не возникнет. Кроме того, негативная мотивация просто не работает. - Оценка не помогает отследить реальный уровень знаний ученика. Потому что оцениваются не знания по предмету. Оценивается оформление, соответствие учебнику и мнению учителя, умение угадать верный, по мнению составителей тестов, например, вариант ответа. Знания школьная оценка не показывает! - Оценка - элемент насилия. Вы показываете всем жертву. Помечаете её отметками. Вот он - неудачник. Ату его! Назовите мне хоть один плюс отметочной системы в нынешней школе. Ну хоть один! Ах, ну да, конечно. Учителю так легче. Он однажды решает, что этот ученик не способен к его предмету. Даже если однажды ученик расстарается и напишет без единой помарочки, то всегда можно снять баллы ЗА ОФОРМЛЕНИЕ. Мол, слово ""упражнение"" надо писать целиком. И строчки после нумерации пропускать не надо. И за это снова влепить трояк. Дети учатся всего неделю? - Так пусть привыкают к новым требованиям! Мотивация ребёнка к учёбе? - Не, не слышала. И напоследок, как вывод из всего сказанного: задача учителя состоит в том, чтобы научить ребёнка, а не констатировать его неуспешность. Особенно дико, когда такая констатация идёт с самой начальной школы. ваш Мартокот слегка взбешён"
4,4.0,0.4028,"любить, любовь, думать, чувство, хотеть, говорить, чувствовать, знать, казаться, хотеться","Когда люди встречаются, они отдают. Когда они только начинают встречаться, они отдают всего себя, безоглядно, с двух сторон - на, бери, мне не жалко! На, смотри, на, чувствуй! На, пробуй! И хочется все рассказать, всем поделиться, открыть себя! Настежь! Как впервые окна - после зимы! Истосковавшись по теплу, надеясь на теплое лето! Радуясь теплой весне! Я тебе отдавала много, что там - всю себя. Я не знаю, что отдала, что ты взял, но я знаю, что отдал, нет, подарил мне ты! Звонки (черт, а я же так не люблю говорить по телефону долго!) ты подарил мне мысли, желание писать тебе, радовать тебя! Ты подарил мне влюбленность, когда, мчась по летнему шоссе к морю, с ногами забравшись на сиденье, слушать, как ты подпеваешь, влюбляться в это, закрывать глаза, тут же открывать, потому что ты взял за руку! Ты подарил мне чувство - ощущать тебя, твои подрагивания, расслабленность, когда гладила тебя по спине кончиками пальцев… ощущать тебя, когда ты далеко, чувствовать твое настроение по одной лишь смс, замирать…. Чувстовать, когда… Ты подарил мне море. Всего за два дня… море, как на картинке, лазурное, искрящееся, или то была твоя улыбка, твои поцелуи? Ты подарил мне: «а вот бы дождь сейчас? Вот бы? - загадай! - и через 10 минут слепой дождик, затем ливень!!! Бегом в море, с разбегу!!! С налету, в море, в тебя, в радость неимоверную!!! Море - ночью, когда звезды на небе и звезды в ладонях! - планктон. И чистое небо, и холодно - пусть, так хорошо!!! Ты подарил мне день рождения! Я так хотела проснуться не одна. И не просто не одна, а с тобой, да, с тобой, каким ты был в то утро! Что было лучше - мой кофе или твоя улыбка? Или твоя… солнечность? Или мое счастье? Ты подарил мне счастье! Может быть, я правда выиграла в лотерею? Может быть, за тот месяц - я семь полных часов была счастлива неимоверно, что счастье не помещалось, выплескивалось из моих зрачков, настежь открытых ладоней, улыбки, из всего тела!!! Не просто счастлива, пойми, как была счастлива с тобой, а семь полных часов СЧАСТЛИВА так, что захлебывалась, что трудно дышать, открытым ртом целовала тебя, потому что не сдержать, потому что выплескивалось! Семь часов… или больше? Или не лотерея, а впрочем, об этом ли думать? Когда так хорошо! И с открытыми губами же… смеялась, влюблялась, смущалась, жила так полно! Черт! А чего только стоили наши сплетение пальцев, сплетение тел, наши внезапные for nobody to understand, или просто потому что захотелось - разговоры на английском! Или смех, утром, только проснувшись… Вместе с впечатлениями о моем дне рождения, закрыть бы в банку, законсервировать, не пролив ни строчки, чтобы холодным или одиноким зимним вечером открывать и с бегемотным чаем по ложечке слизывать языком, чувствовать во рту, чувствовать на губах, чувствовать в прикосновении, на шее, на спине, в море, на лужайке. И так - по ложечке - семь часов счастья! Блин, и фильмы вместе, и мой балкон, и твоя кровать, и твой балкон, и наше море, и твоя галантность, и моя смущенность, и… А когда люди расстаются - это не всегда плохо. И сейчас это не плохо, и не «как надо», а просто… так же замечательно, что обоюдно. Как обоюдное море, или свидания. Просто… да, пора. И ты прав, это был великолепный месяц. Потрясающий конец лета и начало осени. Но когда люди расстаются, каждый забирает что-то. Я не знаю, что забрала у тебя. А ты у меня забрал музыку. Я заметила это, когда вышла из дома, и не включила плеер, не включили и когда села в автобус, пошла гулять. А когда пришла домой и включила ноутбук, и aimp, и когда любимые песни играют - но неслышими, как будто не в моей комнате, а где то далеко, но не так далеко, когда ветром приносит любимые мотивы, и вся превращаешься в слух, и слышишь обрывки аккордов, и вся замираешь, ты - уши, пытаешься воспроизвести в голове, в душе в сердце, близкие тебе, и начинаешь подпевать, а другие не слышат - удивляются… а ты, у тебя… твое…. Нет, не так. А как из под толщи воды. Слышишь, но не чувствуешь, и даже «what I miss about you» - всего лишь набор слов. А мне так важна музыка! Тебе ли не знать, когда : « мне нужно, мне нужно срочно! послушать одну песенку!» Как кофе по утрам, как улыбка моей дочери, как мои фотографии, и мои дневники. Я езжу в автобусах, узнаю запах осени, вижу листопад, хочу сказать тебе, а потом только вижу твой статус «листопад» я не скучаю по тебе, я приятно думаю о тебе, я улыбаюсь, я смеюсь, рисую, фотографирую жадно, пишу… но без музыки… и даже на балкон покурить вышла с телефоном, а не с плеером. Между тем, как люди встречаются, и как люди расстаются… может пройти несколько лет или несколько жизней, или несколько дней, или месяц - с 17го по 17ое. Многие забирают много и отдают много, и часто не только хорошего, но и плохого, о чем не хочется думать, что счастливо нас миновало. И наша с тобой, случайно ли! - «and friends would all make fun of us, and we’ll just laugh along because we know that nonе of them has ever felt this way… the world will never ever be the same, and you’re to blame…» Thank you, honey! And I am thinking of you."
5,5.0,0.3773,"человек, очень, людеи, мочь, хороший, поэтому, причина, считать, плохой, часто","Думается мне, что почти любое личное общение попадает под одну из трёх условных схем: 1) собеседники абсолютно искренне интересуются друг другом и тем, что происходит в жизни друг у друга. Как следствие - любое важная для одного собеседника тема автоматически становится интересной для другого. 2) собеседникам нужно просто поразговаривать. Важны не эмоции и события в жизни друг друга, важен сам факт говорения. 3) общение состоит из увлекательных рассказов. Оно строится не на взаимном интересе друг к другу. Факт постоянного говорения здесь тоже не важен. Важна возможность рассказать\услышать что-то мегаинтересное. Причём очень часто рассказчиком бывает только один из двух, в то время как другой исключительно слушает. По 2-ой схеме общение строится, например, тогда, когда по дороге в универ встречаешь едва знакомого старшекурсника. Вы никогда не расскажете друг другу ничего личного и важного. Но поговорить-то о чём-то вроде бы и надо. И 40 минут дороги проходят в не совсем интересных и нужных перечислениях своих учебных проблем, рассказах о предметах и преподавателях. Общаясь по схеме 2, можно каждый день тратить друг на друга кучу времени, при этом не зная о себеседнике самого главного. Эдакое бурление на поверхности глубокого озера. В моей жизни такого общения много, и в этом нет ничего хорошего. Его надо либо изгонять к чёрту, либо (для меня это в большинстве случаев) превращать в общение по первой схеме. Схема 3 - это, например, общение в мужской раздевалке после баскетбола. Обмен клёвыми историями и разной интересной инфой. Факт говорения здесь не очень важен: завязывать шнурки можно и молча. Глубокий интерес к личностям друг друга тоже, в принципе, отсутствует. Но в данном случае в этом нет ничего плохого. Этого интереса тут и не нужно. Но лучшее общение - всегда общение по схеме 1. Потому что когда есть взаимный и искренний интерес, тогда и говорение возникает само собой, и интересные истории сами собой находятся. Достаточно по-настоящему заинтересоваться человеком, и он столько увлекательного вынесет из своего нутра, казавшегося скучным до этого. Только вот никогда не заинтересуешься человеком ""потому, что надо"". Он изначально либо интересен тебе, либо нет. Ну а с теми немногими, с кем общение строится именно на основе абсолютно искреннего интереса, мы знаем друг о друге всё самое важное. Даже если общаемся всего пару часов и раз в несколько месяцев. Это был не упрёк никому, ни себе даже. Это просто мои очередные размышления. Желаю вам цифры 1 побольше."
