,Topic_Num,Topic_Perc_Contrib,Keywords
0,0.0,0.4818,"версия, также, серия, память, новый, год, камера, использоваться, смартфон, функция"
1,1.0,0.3399,"история, имя, платье, сегодня, стать, любить, мероприятие, представить, дело, выбрать"
2,2.0,0.3785,"хотеть, курс, важный, человек, очень, искать, канал, людеи, какои, решить"
3,3.0,0.4259,"проект, часть, дом, тип, вид, вариант, комната, отличный, площадь, изделие"
4,4.0,0.6448,"телефон, получить, банк, карта, вопрос, документ, оператор, почта, заявка, способ"
5,5.0,0.672,"режим, игра, танк, игрок, состояние, огромный, карта, команда, существовать, условие"
6,6.0,0.5735,"место, город, вид, компания, известный, необходимый, список, вечер, стоять, человек"
7,7.0,0.4725,"очень, удобный, иметь, ссылка, прибор, внимание, использовать, вещь, цвет, размер"
8,8.0,0.6681,"жизнь, выход, мука, февраль, дата, чтo, крышка, пудры, сахарнои, ранее"
9,9.0,0.5414,"жизнь, образ, человек, техника, здоровье, сила, труд, использование, учёный, основа"
10,10.0,0.582,"желание, сделать, месяц, мужчина, начать, план, видеть, выглядеть, книга, узнать"
11,11.0,0.7011,"организм, сердце, часто, кишечник, продукт, система, появление, работа, напиток, приём"
12,12.0,0.3981,"иметь, час, являться, мочь, поэтому, позволять, корпус, возможность, входить, икра"
13,13.0,0.6883,"купить, золото, кольцо, украшение, рука, серьга, дерево, золотой, дешёвый, браслет"
14,14.0,0.4399,"информация, новый, также, год, номер, нужный, интересный, место, страница, время"
15,15.0,0.3292,"первый, стоять, пока, остаться, подробнее, второй, этои, смочь, такои, интересный"
16,16.0,0.6671,"уровень, различный, хороший, конец, новый, возможный, цена, собрать, игра, слишком"
17,17.0,0.4672,"компания, клиент, продукт, технология, мобильный, доступный, позволять, работа, работать, возможность"
18,18.0,0.3954,"автомобиль, кроссовер, элемент, авто, мм, размер, год, установить, кредит, способный"
19,19.0,0.5034,"саит, школа, начинать, язык, разный, работать, время, заниматься, рабочий, создать"
20,20.0,0.545,"модель, приятный, диван, вид, фото, популярный, выполнить, добавить, интерьер, стекло"
21,21.0,0.4445,"развивать, игрушка, статья, детский, каждыи, детеи, друг, ребёнок, конструктор, музыкальный"
22,22.0,0.5348,"год, автор, мир, главный, книга, ждать, девушка, событие, сериал, страна"
23,23.0,0.5082,"заказ, саите, акция, вес, день, доставка, находиться, счёт, дополнительный, подписываитесь"
24,24.0,0.7519,"мочь, видео, получать, пользователь, платформа, просмотр, бесплатный, услуга, реклама, канал"
25,25.0,0.472,"кожа, знать, подарок, помогать, средство, отзыв, крем, точно, экстракт, орхидея"
26,26.0,0.6237,"руб, приобрести, продукт, стоимость, получить, игра, подходить, скачать, магазин, набор"
27,27.0,0.4518,"программа, отдых, специалист, хороший, центр, отель, готовый, процедура, оборудование, гость"
28,28.0,0.4141,"также, аромат, нота, мир, воздух, создание, тысяча, источник, система, идея"
29,29.0,0.6086,"год, сеть, проект, говорить, продажа, новогодний, слово, сервис, работать, одноклассник"
30,30.0,0.5416,"цена, рублеи, товар, скидка, магазин, покупка, обзор, новинка, выгодный, кстати"
31,31.0,0.4126,"система, работа, высокий, диск, производство, материал, объём, качество, ремонт, контроль"
